ForecastDate,RidgeForecastClose,MACDForecastClose,RidgeDailyLogReturnAssumption,MACDDailyLogReturnAssumption,RidgeForecastDirection,MACDForecastDirection
2026-07-02,1865.5028185886179,1868.6558496802136,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-03,1865.635646634222,1871.9474873853883,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-06,1865.7684841374846,1875.244923311131,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-07,1865.9013310990804,1878.5481676710083,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-08,1866.0341875196816,1881.8572306965787,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-09,1866.1670533999627,1885.1721226374225,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-10,1866.2999287405962,1888.4928537611765,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-13,1866.4328135422568,1891.8194343535613,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-14,1866.5657078056176,1895.1518747184182,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-15,1866.698611531352,1898.4901851777374,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-16,1866.8315247201344,1901.8343760716916,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-17,1866.9644473726387,1905.1844577586678,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-20,1867.0973794895378,1908.5404406152993,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-21,1867.230321071506,1911.9023350364978,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-22,1867.3632721192175,1915.2701514354856,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-23,1867.4962326333462,1918.6439002438276,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-24,1867.6292026145659,1922.0235919114648,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-27,1867.762182063551,1925.4092369067453,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-28,1867.8951709809758,1928.8008457164565,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-29,1868.0281693675136,1932.1984288458589,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-30,1868.161177223839,1935.6019968187181,7.119974072151126e-05,0.0017599506059310906,up,up
2026-07-31,1868.294194550627,1939.011560177338,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-03,1868.427221348551,1942.4271294825905,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-04,1868.560257618286,1945.8487153139533,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-05,1868.6933033605055,1949.276328269538,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-06,1868.826358575885,1952.7099789661252,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-07,1868.9594232650988,1956.1496780391974,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-10,1869.0924974288212,1959.5954361429704,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-11,1869.2255810677266,1963.047263950429,7.119974072151126e-05,0.0017599506059310906,up,up
2026-08-12,1869.35867418249,1966.505172153357,7.119974072151126e-05,0.0017599506059310906,up,up
